"SampleNumber","DateReceived","BoxTempNoReceipt","Country","DurabilityDate","TempAtCollection","ConditionOfSample","ProductWeightInPounds","CostOfChicken","TypeOfChicken","PackagingAtmosphere","PackagingDetails","NeckSkinWeightInSample","Test","Result","Units","Species","MethodEvalPhase"
"PO1607816-03","2016-04-12","2.6","England","2016-04-17","2.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration cfu/g","2","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607816-04","2016-04-12","2.6","England","2016-04-15","2.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","15","Campylobacter spp - enumeration per Swab","160","CFU/g Neck","C. jejuni","1"
"PO1607816-04","2016-04-12","2.6","England","2016-04-15","2.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","15","Campylobacter spp - enumeration cfu/g","173","CFU/g Back","Campylobacter spp.","1"
"PO1607816-04","2016-04-12","2.6","England","2016-04-15","2.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration per Swab","130","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607821-01","2016-04-12","2.1","England","2016-04-16","2","Satisfactory","1596","3.18","Standard","Modified Atmosphere","Other","14","Campylobacter spp - enumeration cfu/g","1500","CFU/g Neck","C. jejuni","1"
"PO1607821-01","2016-04-12","2.1","England","2016-04-16","2","Satisfactory","1596","3.18","Standard","Modified Atmosphere","Other","14","Campylobacter spp - enumeration per Swab","200","CFU/g Back","Campylobacter spp.","1"
"PO1607821-01","2016-04-12","2.1","England","2016-04-16","2","Satisfactory","1596","3.18","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration per Swab","390","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607821-02","2016-04-12","2.1","England","2016-04-17","2","Satisfactory","1850","3.68","Standard","Modified Atmosphere","Other","23","Campylobacter spp - enumeration per Swab","<10","CFU/g Neck","","1"
"PO1607821-02","2016-04-12","2.1","England","2016-04-17","2","Satisfactory","1850","3.68","Standard","Modified Atmosphere","Other","23","Campylobacter spp - enumeration per Swab","10","CFU/g Back","Campylobacter spp.","1"
"PO1607821-02","2016-04-12","2.1","England","2016-04-17","2","Satisfactory","1850","3.68","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration cfu/g","4","CFU/ml Rinse","C. jejuni","1"
"PO1607821-03","2016-04-12","2.1","England","2016-04-18","2.4","Satisfactory","1250","2.39","Standard","Modified Atmosphere","Other","15","Campylobacter spp - enumeration per Swab","<10","CFU/g Neck","","1"
"PO1607821-03","2016-04-12","2.1","England","2016-04-18","2.4","Satisfactory","1250","2.39","Standard","Modified Atmosphere","Other","15","Campylobacter spp - enumeration per Swab","<10","CFU/g Back","","1"
"PO1607821-03","2016-04-12","2.1","England","2016-04-18","2.4","Satisfactory","1250","2.39","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration cfu/g","<1","CFU/ml Rinse","","1"
"PO1607821-04","2016-04-12","2.1","England","2016-04-17","2.4","Satisfactory","1650","3.15","Standard","Modified Atmosphere","Other","25","Campylobacter spp - enumeration per Swab","<10","CFU/g Neck","","1"
"PO1607821-04","2016-04-12","2.1","England","2016-04-17","2.4","Satisfactory","1650","3.15","Standard","Modified Atmosphere","Other","25","Campylobacter spp - enumeration cfu/g","<10","CFU/g Back","","1"
"PO1607821-04","2016-04-12","2.1","England","2016-04-17","2.4","Satisfactory","1650","3.15","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration cfu/g","<1","CFU/ml Rinse","","1"
"PO1607941-01","2016-04-13","1.4","England","2016-04-15","2.4","Satisfactory","2050","9.32","Standard","NOT Modified Atmosphere","Other","15","Campylobacter spp - enumeration cfu/g","237","CFU/g Neck","C. jejuni","1"
"PO1607941-01","2016-04-13","1.4","England","2016-04-15","2.4","Satisfactory","2050","9.32","Standard","NOT Modified Atmosphere","Other","15","Campylobacter spp - enumeration cfu/g","305","CFU/g Back","Campylobacter spp.","1"
"PO1607941-01","2016-04-13","1.4","England","2016-04-15","2.4","Satisfactory","2050","9.32","Standard","NOT Modified Atmosphere","Other","","Campylobacter spp - enumeration per Swab","63","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607941-02","2016-04-13","1.4","England","2016-04-15","2.4","Satisfactory","2042","9.32","Standard","NOT Modified Atmosphere","Other","18","Campylobacter spp - enumeration per Swab","40","CFU/g Neck","C. jejuni","1"
"PO1607941-02","2016-04-13","1.4","England","2016-04-15","2.4","Satisfactory","2042","9.32","Standard","NOT Modified Atmosphere","Other","18","Campylobacter spp - enumeration cfu/g","50","CFU/g Back","Campylobacter spp.","1"
"PO1607941-02","2016-04-13","1.4","England","2016-04-15","2.4","Satisfactory","2042","9.32","Standard","NOT Modified Atmosphere","Other","","Campylobacter spp - enumeration cfu/g","18","CFU/ml Rinse","Campylobacter spp.","1"
"LO1608093-01","2016-04-14","6.7","England","2016-04-15","4.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","8","Campylobacter spp - enumeration cfu/g","<10","CFU/g Neck","","1"
"LO1608093-01","2016-04-14","6.7","England","2016-04-15","4.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","1","CFU/ml Rinse","Campylobacter spp.","1"
"LO1608093-01","2016-04-14","6.7","England","2016-04-15","4.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","8","Campylobacter spp - enumeration per Swab","<10","CFU/g Back","","1"
"LO1608093-03","2016-04-14","6.7","England","2016-04-15","2.6","Satisfactory","1558","4.49","Standard","Modified Atmosphere","Other","16","Campylobacter spp - enumeration per Swab","20","CFU/g Back","C. jejuni","1"
"LO1608093-03","2016-04-14","6.7","England","2016-04-15","2.6","Satisfactory","1558","4.49","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","10","CFU/ml Rinse","Campylobacter spp.","1"
"LO1608093-03","2016-04-14","6.7","England","2016-04-15","2.6","Satisfactory","1558","4.49","Standard","Modified Atmosphere","Other","16","Campylobacter spp - enumeration cfu/g","40","CFU/g Neck","C. jejuni","1"
"CNI35","2016-04-18","4.8","Northern Ireland","2016-04-21","2.3","Satisfactory","1468","6.24","Free Range","Modified Atmosphere","Other","8","Campylobacter spp - enumeration cfu/g    NS","<10","CFU/g Neck","","1"
